QueueId,Total Interactions
4305dc69-6861-4b26-8a37-b42c9312ae6c,796254
0d3b152f-860b-4da2-a5c1-d64ff474a22e,676595
d180df94-5883-41a5-9e28-8b04ee0d9f13,220265
340be422-0863-489b-90eb-dd7d48433262,158382
8118659a-0e2a-4a33-babf-bf032d8fe440,139542
5cd1c1e4-47bc-447e-824f-80dfc62596a2,137311
328371af-6e5f-4d82-9d0f-31583b25c602,132934
"",119242
e26b0817-9501-48dc-bc46-7469220a88e7,108228
49d203af-67b0-42e6-96e5-20b44a63968f,83183
870941b3-b889-4abc-9a6b-d5bbc30f8dd7,78336
e143e0cf-6235-4457-9561-0b9d825a4e5d,75012
b7a3da5d-733b-459f-a502-80711c86d7d9,63286
df2dde15-5a23-440f-8686-cc81112b5506,60835
cd7f60f1-c52a-4845-960b-223b7954a56d,46584
16f01627-bfe9-4f8e-91e5-b1d93a4f35cd,33711
2b54cbcf-ae37-49c5-80cc-6d33cd49f121,29642
8a161268-b3a5-406f-bc0d-4fc152dcaa39,28547
8ae6c45e-6102-49ed-a674-7e30c289b5b7,24452
540,23483
92451e44-0bf2-428b-a0e9-756702686c47,19498
7e7a8a82-01d0-4e93-81b5-58ec93ee29fd,17830
641e0283-0f16-4fd8-a351-d3992c02fc2a,17662
0b073582-8040-406e-97ad-c0432483b866,17139
274cefb9-bb6f-4e43-92ef-08d5279f6482,16745
59b0dc3f-5939-402d-a09b-cc3ebca252f3,16458
be67a7bc-f1d0-43d2-940e-f8feb7a44f95,15515
d5d6ab20-2350-4ed8-aa32-5e9e55f5a2d7,14193
41ead4a7-acfc-4051-ac90-297f6ef6dd88,14042
bc71889c-5631-449b-be93-dab13dd65ea6,12505
42156769-9ad4-40ef-91dc-65994e3898d8,9475
d254ee05-f904-46cd-8d4d-f3577a98aeab,9223
8d2119af-e7ae-4904-aa1a-47c74a7f4e20,9071
f44c8475-4b11-46a0-a9dd-45cfab3e4d9c,8034
ebb2c91a-e962-4bab-9ee9-fa1ef1a5a408,7520
2698,6964
a3a08442-8a81-4106-a7d7-07fc4f5b7585,6738
13beac4d-3ed4-4779-9723-e7d8aad0d45d,6141
a2f668fd-dcde-442b-8764-e293153a2e9a,4998
076f0529-e08a-4f6a-a9b5-19cb2c0075a7,4936
cf75efb1-63e6-4e78-be21-f9364d29898f,4919
dbc7892c-e72e-4ba9-a8d6-d23c8798ac80,4739
6d18df9c-2b1d-4f9c-82c6-1f990f105ce0,3663
dbf215ea-9716-4a90-a116-d1241e703cc4,3576
6c0e443c-88a0-4032-85e3-8985b6319bc6,3226
a07ba27e-247f-4921-a531-7df0ada12af6,2681
2533,2589
93e34f5e-780c-4001-a08c-7003e3979b75,2425
40420f35-0c07-4225-af6a-05ae0278ec73,2320
3471ec4d-dadb-48c6-a8bc-04326edd7776,2216
